Signatory Progress Summary,,,
First Signed Up To IATI,September 2008,,
Frequency of Publication,Monthly,,
First Published Activity Files,March 2011,,
First Published Organisation File,March 2011,,
,,,
,,,
Publication of Key Attributes,,,
,,,
Attribute,Period or % of activity,Implementation Schedule Commitment,IP vs Actual Comments (WR)
,,,
Timeliness of Transaction Data*,Monthly,Monthly,
,,,
Frequency of Updates,,Monthly,
,,,
Activity Forward Planning*,81,Not present in Implementation Schedule,
,,,
Transaction Alignment with recipient financial year*,Monthly,Not present in Implementation Schedule,
,,,
Budget Alignment with recipient financial year*,annual,Not present in Implementation Schedule,
,,,
Unique Identifer,99.94,Fully Compliant Jan 2011,
,,,
Use of Recipient Language*,0,Partially Compliant Jan 2011,This information published elsewhere and is not present in the Activity files
,,,
Start Date,99.94,Fully Compliant Jan 2011,
,,,
End Date,99.72,Fully Compliant Jan 2011,
,,,
Implementing Organisation,90.47,Partially Compliant Jan 2011,
,,,
Geography,0,Partially Compliant Apr 2014,
,,,
CRS Sector,99.82,Fully Compliant Jan 2011,
,,,
Commitments*,96.75,Fully Compliant Jan 2011,
,,,
Disbursements & Expenditure*,88.05,Fully Compliant Jan 2011,
,,,
Traceable Income & Disbursements*,100,Not present in Implementation Schedule,
,,,
Activity Documents*,0,Fully Compliant Jan 2011,
,,,
Text of Conditions,0,Fully Compliant Jan 2011,
,,,
Results,0,,
,,,
,,,
Published Data Cross Checked Against Common Standard Implementation Schedule,,,
Organisation File ,,Annual forward planning budget for funded institutions Partially Compliant but no data in org file. Not applicable?,
Activity File,,Report Data is published elsewhere and is not present in the Activity files,
,,Use of Recipiant Languaged staed as Partially compliant but this information published elsewhere and is not present in the Activity files,
