Signatory Progress Summary,,
First Signed Up To IATI,November 2011,
Frequency of Publication,Annually,
First Published Activity Files,September 2012,
First Published Organisation File,Not Currently Published,
,,
,,
Publication of Key Attributes,,
,,
Attribute,Period or % of activity,Implementation Schedule Commitment
,,
Timeliness of Transaction Data*,Beyond one year,Annually
,,
Frequency of Updates,,Annually
,,
Transaction Alignment with recipient financial year*,Annually,Not present in Implementation Schedule
,,
Budget Alignment with recipient financial year*,not known,Not present in Implementation Schedule
,,
Unique Identifer,99.83,Fully Compliant
,,
Use of Recipient Language*,0,Fully Compliant
,,
Start Date,0,Future Publication
,,
End Date,0,Future Publication
,,
Implementing Organisation,0,Future Publication
,,
Geography,0,Not publishing Now
,,
CRS Sector,96.55,Fully Compliant
,,
Commitments*,0,Fully Compliant
,,
Disbursements & Expenditure*,81.55,Fully Compliant
,,
Traceable Income & Disbursements*,45.81,Not present in Implementation Schedule
,,
Activity Documents*,0,Fully Compliant
,,
Text of Conditions,0,Fully Compliant
,,
Results,0,Fully Compliant
